Restaurant_Name,City,Area,Cuisines,Restaurant_Type,Online_Order,Book_Table,Rating,Votes,Cost_For_Two
Chaat Junction,Pune,Hinjewadi,"Pizza, Street Food",Bakery,Yes,Yes,3.2,82.0,145
Grill House,Pune,Hinjewadi,"Biryani, Fast Food, Gujarati",Bakery,Yes,No,3.3,644.0,538
Restaurant Flavor Town,Pune,Koregaon Park,Bengali,Food Court,Yes,Yes,4.3,53.0,449
Dhaba Express,Pune,Kothrud,Street Food,Cafe,Yes,No,4.5,845.0,628
Hotel The Hungry Tiger,Pune,Hinjewadi,Chinese,Bakery,Yes,Yes,4.4,796.0,303
Royal Food Hub,Pune,Kothrud,Gujarati,Bakery,Yes,No,3.6,491.0,585
Cafe Taste of India,Pune,Baner,"Bengali, Gujarati",Quick Bites,Yes,Yes,2.5,710.0,488
The Taste of India,Pune,Kothrud,"Seafood, Chinese",Casual Dining,Yes,No,4.5,488.0,937
Royal Sweet Tooth,Pune,Koregaon Park,"Pizza, Mughlai",Food Court,Yes,No,3.5,174.0,452
Spice Garden,Pune,Baner,Mexican,Delivery,Yes,No,4.5,761.0,580
Shree Pizza Palace,Pune,Kothrud,Gujarati,Bakery,No,Yes,4.4,,308
Restaurant Curry Leaf,Pune,Koregaon Park,Mughlai,Casual Dining,No,Yes,4.2,390.0,1192
Kebab King,Pune,Hinjewadi,"North Indian, Street Food",Food Court,No,No,4.2,521.0,458
Classic Dining,Pune,Hinjewadi,"Desserts, Fast Food, Pizza",Fine Dining,Yes,No,4.4,1311.0,2166
New Biryani House,Pune,Kothrud,Fast Food,Casual Dining,Yes,Yes,4.6,1066.0,506
Shree Noodle Box,Pune,Kothrud,"Street Food, Bengali, Mughlai",Quick Bites,Yes,No,3.3,490.0,200
Food Hub,Pune,Koregaon Park,"Continental, Punjabi",Quick Bites,Yes,No,3.0,,529
Burger Barn,Pune,Kothrud,Beverages,Quick Bites,No,No,4.0,353.0,262
Burger Barn,Pune,Koregaon Park,"Seafood, South Indian, Bengali",Delivery,Yes,No,4.5,422.0,188
Hotel Spice Garden,Pune,Kothrud,"Fast Food, Mexican, Seafood",Cafe,No,No,3.6,375.0,966
Shree Classic Dining,Pune,Hinjewadi,"Mexican, Biryani, North Indian",Quick Bites,Yes,No,,401.0,392
Taste of India,Pune,Baner,Continental,Cafe,Yes,No,3.6,824.0,1198
Shree Kebab King,Pune,Baner,"Mexican, Fast Food, Cafe",Quick Bites,Yes,No,2.7,278.0,244
Classic Dining,Pune,Kothrud,Gujarati,Fine Dining,No,No,4.3,630.0,1812
Chaat Junction,Pune,Koregaon Park,Street Food,Cafe,Yes,Yes,4.1,114.0,1021
Restaurant Spice Garden,Pune,Hinjewadi,"Italian, Fast Food, Mughlai",Cafe,Yes,No,4.0,362.0,1179
New Classic Dining,Pune,Hinjewadi,Chinese,Cafe,No,No,3.6,458.0,893
Biryani House,Pune,Hinjewadi,"Gujarati, Bengali, Punjabi",Bakery,No,No,3.0,713.0,201
Curry Leaf,Pune,Hinjewadi,Gujarati,Cafe,Yes,No,4.1,702.0,678
New Kebab King,Pune,Kothrud,"Chinese, Rajasthani, Pizza",Food Court,No,No,3.0,310.0,309
Cafe Cloud Kitchen,Pune,Hinjewadi,Pizza,Quick Bites,No,No,2.9,84.0,225
Masala Twist,Pune,Baner,Desserts,Casual Dining,No,No,3.5,708.0,981
Urban Kitchen,Pune,Kothrud,Thai,Delivery,Yes,No,4.3,697.0,540
Royal The Hungry Tiger,Pune,Kothrud,"Mughlai, Cafe",Food Court,Yes,No,2.6,441.0,240
Food Hub,Pune,Koregaon Park,"North Indian, Street Food, Cafe",Delivery,Yes,No,4.5,482.0,566
New Cloud Kitchen,Pune,Hinjewadi,"North Indian, Chinese, Gujarati",Food Court,Yes,No,3.9,334.0,240
Hotel Spice Garden,Pune,Baner,"South Indian, Seafood, Street Food",Bakery,No,No,4.2,134.0,595
Tiffin Box,Pune,Koregaon Park,Biryani,Quick Bites,Yes,No,3.9,241.0,323
Cafe Pizza Palace,Pune,Kothrud,"South Indian, Fast Food",Quick Bites,Yes,No,3.0,637.0,452
New Burger Barn,Pune,Kothrud,Desserts,Casual Dining,No,No,4.5,1354.0,823
Restaurant Flavor Town,Pune,Koregaon Park,"Desserts, Gujarati",Bakery,Yes,Yes,3.1,371.0,142
Royal Cloud Kitchen,Pune,Hinjewadi,"South Indian, Mughlai",Casual Dining,Yes,Yes,4.4,1048.0,592
Curry Leaf,Pune,Koregaon Park,"Rajasthani, Biryani, Punjabi",Dessert Parlour,Yes,Yes,4.3,473.0,297
Shree Dosa Corner,Pune,Hinjewadi,"Pizza, Street Food",Dessert Parlour,No,No,2.7,119.0,336
Grill House,Pune,Hinjewadi,"Punjabi, Rajasthani",Quick Bites,Yes,Yes,3.6,451.0,281
Royal Saffron,Pune,Kothrud,"Italian, Beverages",Quick Bites,Yes,No,4.0,208.0,316
New Biryani House,Pune,Hinjewadi,South Indian,Fine Dining,Yes,No,4.0,273.0,1717
Classic Dining,Pune,Hinjewadi,"Seafood, Cafe, Mexican",Delivery,Yes,No,4.3,517.0,237
Hotel Dosa Corner,Pune,Baner,"North Indian, Fast Food, Pizza",Dessert Parlour,Yes,No,3.5,714.0,256
The Fusion Bites,Pune,Hinjewadi,"Biryani, North Indian",Food Court,No,No,2.5,280.0,598
Cafe Cloud Kitchen,Pune,Baner,"North Indian, Gujarati, Continental",Bakery,Yes,Yes,2.5,307.0,448
Dhaba Express,Pune,Koregaon Park,Street Food,Casual Dining,No,No,3.9,1167.0,759
The Pizza Palace,Pune,Kothrud,"Desserts, Punjabi",Food Court,No,No,4.3,505.0,405
Classic Dining,Pune,Koregaon Park,"Biryani, Beverages, Gujarati",Delivery,Yes,No,3.9,378.0,320
Masala Twist,Pune,Baner,"Thai, Rajasthani, Punjabi",Dessert Parlour,Yes,No,3.2,410.0,269
Shree Urban Kitchen,Pune,Baner,"Punjabi, Desserts, Fast Food",Quick Bites,Yes,No,4.4,365.0,505
The Curry Leaf,Pune,Hinjewadi,"Biryani, Punjabi, Street Food",Bakery,Yes,No,3.1,,247
Grill House,Pune,Baner,Gujarati,Casual Dining,Yes,No,4.2,152.0,400
Noodle Box,Pune,Kothrud,"Italian, Biryani, Mughlai",Casual Dining,Yes,No,3.6,1019.0,432
Cafe Noodle Box,Kolkata,Salt Lake,"Street Food, Cafe",Casual Dining,Yes,No,4.5,335.0,992
Grill House,Kolkata,New Town,"Chinese, Street Food",Dessert Parlour,Yes,No,3.6,457.0,292
Cafe Fusion Bites,Kolkata,New Town,"Bengali, Rajasthani",Bakery,Yes,No,2.6,37.0,386
The Dhaba Express,Kolkata,Gariahat,"Punjabi, Beverages, Biryani",Delivery,Yes,No,4.3,783.0,127
Food Hub,Kolkata,Park Street,South Indian,Quick Bites,Yes,No,2.7,109.0,404
Aroma Restaurant,Kolkata,Park Street,"Mughlai, Punjabi, Biryani",Quick Bites,Yes,No,2.8,701.0,558
New Dhaba Express,Kolkata,Gariahat,"Mughlai, Fast Food, Chinese",Bakery,Yes,No,2.7,263.0,149
Shree Urban Kitchen,Kolkata,Park Street,Street Food,Quick Bites,Yes,No,4.1,569.0,530
Shree Chaat Junction,Kolkata,New Town,North Indian,Fine Dining,Yes,No,4.5,1247.0,2199
Cafe Spice Garden,Kolkata,New Town,"Fast Food, Mexican, Gujarati",Dessert Parlour,Yes,Yes,3.3,119.0,509
Pizza Palace,Kolkata,Gariahat,Mexican,Bakery,Yes,No,2.6,682.0,433
Cafe Classic Dining,Kolkata,Salt Lake,"North Indian, Pizza",Bakery,Yes,No,3.5,733.0,278
Shree Sweet Tooth,Kolkata,Gariahat,"Mexican, Desserts, Rajasthani",Food Court,No,No,3.1,684.0,490
The Spice Garden,Kolkata,Salt Lake,"Punjabi, Cafe, Italian",Cafe,Yes,No,4.6,1247.0,756
Restaurant Biryani House,Kolkata,Salt Lake,Fast Food,Delivery,Yes,No,3.1,800.0,218
The Dosa Corner,Kolkata,New Town,"Chinese, South Indian",Fine Dining,Yes,Yes,4.7,1104.0,1798
Restaurant Aroma Restaurant,Kolkata,Salt Lake,"Rajasthani, Seafood, Biryani",Casual Dining,No,No,3.5,1055.0,658
New Taste of India,Kolkata,New Town,"Mughlai, Chinese, North Indian",Fine Dining,Yes,No,4.0,210.0,2075
Cafe Taste of India,Kolkata,Gariahat,"Punjabi, Gujarati, Mughlai",Cafe,No,No,3.9,780.0,760
The Burger Barn,Kolkata,New Town,"Seafood, Chinese, Mexican",Fine Dining,Yes,No,3.9,672.0,3542
Royal Grill House,Kolkata,New Town,"Beverages, Chinese",Dessert Parlour,No,Yes,3.1,599.0,373
Cloud Kitchen,Kolkata,Park Street,"South Indian, Thai, Fast Food",Fine Dining,Yes,No,4.9,266.0,1622
Royal Fusion Bites,Kolkata,Park Street,Thai,Cafe,No,No,4.3,532.0,463
The Biryani House,Kolkata,Park Street,Bengali,Food Court,Yes,No,2.7,500.0,382
Restaurant Tiffin Box,Kolkata,Gariahat,"Continental, Beverages, Bengali",Bakery,Yes,No,4.3,,216
Royal Kebab King,Kolkata,New Town,"Gujarati, South Indian, Seafood",Quick Bites,No,No,3.4,572.0,318
New Momo Point,Kolkata,Park Street,"Bengali, South Indian",Delivery,Yes,Yes,2.5,775.0,311
Pizza Palace,Kolkata,Gariahat,"Continental, South Indian, Chinese",Quick Bites,Yes,No,3.1,368.0,260
Shree Flavor Town,Kolkata,New Town,"Fast Food, Chinese, Mexican",Bakery,Yes,No,3.5,375.0,476
Royal Chaat Junction,Kolkata,New Town,"Street Food, Continental, Punjabi",Food Court,No,No,3.6,65.0,153
Cafe Food Hub,Kolkata,Salt Lake,Biryani,Casual Dining,No,No,3.7,481.0,966
Fusion Bites,Kolkata,Gariahat,"Rajasthani, Fast Food, North Indian",Bakery,Yes,Yes,3.1,317.0,296
Food Hub,Kolkata,New Town,Seafood,Bakery,Yes,Yes,2.9,685.0,194
The Biryani House,Kolkata,Gariahat,"Desserts, Italian, Mughlai",Quick Bites,No,No,4.2,447.0,322
Taste of India,Kolkata,Salt Lake,"Rajasthani, Bengali, Punjabi",Dessert Parlour,Yes,No,3.4,,573
Hotel Masala Twist,Kolkata,New Town,"Mexican, Seafood",Dessert Parlour,Yes,Yes,3.0,678.0,228
Restaurant Noodle Box,Kolkata,Park Street,Rajasthani,Dessert Parlour,Yes,No,3.4,377.0,594
Restaurant Classic Dining,Kolkata,Salt Lake,"Cafe, Thai",Casual Dining,Yes,Yes,3.5,615.0,1184
Restaurant Food Hub,Kolkata,New Town,"South Indian, Continental, Fast Food",Cafe,No,Yes,4.0,1237.0,850
Hotel Burger Barn,Kolkata,Salt Lake,Beverages,Dessert Parlour,Yes,Yes,3.0,89.0,155
Classic Dining,Kolkata,New Town,"Beverages, Bengali, Chinese",Food Court,Yes,No,2.8,631.0,267
Grill House,Kolkata,New Town,"Cafe, North Indian",Bakery,Yes,Yes,,615.0,566
Restaurant Momo Point,Kolkata,Gariahat,"Mexican, South Indian",Delivery,No,Yes,4.0,90.0,432
Burger Barn,Kolkata,Gariahat,"South Indian, Gujarati, Punjabi",Casual Dining,Yes,No,3.5,650.0,989
Shree Fusion Bites,Kolkata,Salt Lake,"Fast Food, Continental, Rajasthani",Food Court,No,No,3.2,583.0,280
Royal Saffron,Kolkata,New Town,"Continental, Mexican",Bakery,No,No,4.4,427.0,225
Cafe Dhaba Express,Kolkata,Park Street,"Fast Food, Chinese",Food Court,Yes,No,2.8,657.0,353
Spice Garden,Kolkata,Salt Lake,Bengali,Cafe,Yes,No,4.6,256.0,1160
Biryani House,Kolkata,New Town,Punjabi,Casual Dining,No,No,4.6,311.0,762
Masala Twist,Kolkata,Gariahat,"Cafe, Fast Food, South Indian",Food Court,Yes,No,4.4,428.0,566
Shree Dosa Corner,Kolkata,New Town,"Pizza, Mexican, Punjabi",Cafe,Yes,No,4.1,1430.0,778
The Hungry Tiger,Kolkata,Gariahat,Street Food,Casual Dining,Yes,Yes,4.0,1237.0,937
Royal The Hungry Tiger,Kolkata,Park Street,Biryani,Food Court,Yes,No,4.3,225.0,474
Royal Cloud Kitchen,Kolkata,Park Street,"Pizza, Fast Food",Food Court,Yes,No,2.9,305.0,186
New Tiffin Box,Kolkata,Salt Lake,"Italian, Biryani, Fast Food",Delivery,Yes,No,4.0,622.0,114
Biryani House,Kolkata,Park Street,"North Indian, Beverages",Quick Bites,Yes,No,3.6,465.0,474
Restaurant Aroma Restaurant,Kolkata,Park Street,"Gujarati, Italian",Bakery,Yes,Yes,3.1,129.0,442
The Noodle Box,Kolkata,Park Street,Punjabi,Food Court,Yes,No,4.0,85.0,444
Burger Barn,Kolkata,Salt Lake,Thai,Food Court,No,No,,652.0,424
Restaurant Spice Garden,Kolkata,Gariahat,"Biryani, Gujarati",Dessert Parlour,No,No,3.1,660.0,201
Chaat Junction,Kolkata,Salt Lake,"Thai, Mughlai",Casual Dining,No,Yes,4.2,828.0,1028
Restaurant Biryani House,Kolkata,New Town,Street Food,Dessert Parlour,No,No,3.8,375.0,406
Cafe Cloud Kitchen,Kolkata,Gariahat,"Desserts, Continental",Fine Dining,No,Yes,4.3,1552.0,2806
Urban Kitchen,Kolkata,New Town,"Bengali, Continental, North Indian",Bakery,Yes,No,4.3,428.0,500
Shree Noodle Box,Kolkata,Salt Lake,"Rajasthani, Bengali",Fine Dining,Yes,No,4.1,895.0,2396
Cloud Kitchen,Kolkata,Park Street,"Mughlai, Fast Food, Desserts",Cafe,Yes,No,4.6,826.0,421
The Hungry Tiger,Kolkata,Gariahat,"Mughlai, Beverages, Thai",Quick Bites,Yes,Yes,3.6,745.0,540
Masala Twist,Kolkata,Park Street,"Continental, North Indian, South Indian",Delivery,No,No,3.6,417.0,356
Hotel Taste of India,Kolkata,Park Street,"Continental, South Indian, Italian",Delivery,No,No,3.3,144.0,305
Royal Masala Twist,Kolkata,New Town,North Indian,Fine Dining,No,No,4.8,1707.0,1891
Restaurant Noodle Box,Kolkata,New Town,"North Indian, Street Food, Italian",Fine Dining,Yes,Yes,4.9,1165.0,3860
Shree Burger Barn,Kolkata,Park Street,"Thai, Punjabi",Bakery,Yes,Yes,3.5,391.0,301
Hotel Tiffin Box,Kolkata,Salt Lake,Rajasthani,Fine Dining,Yes,No,4.5,494.0,2861
The Cloud Kitchen,Kolkata,Gariahat,"Mexican, Continental",Delivery,Yes,No,4.2,750.0,367
Restaurant Cloud Kitchen,Kolkata,Gariahat,"Street Food, Desserts",Dessert Parlour,No,Yes,3.9,426.0,406
Hotel Sweet Tooth,Kolkata,Salt Lake,"Continental, Desserts",Bakery,Yes,No,3.6,760.0,478
Cafe Classic Dining,Kolkata,Gariahat,Punjabi,Quick Bites,No,Yes,,126.0,597
Momo Point,Kolkata,Salt Lake,"Thai, Bengali, Seafood",Cafe,Yes,Yes,4.7,1435.0,1137
Aroma Restaurant,Kolkata,Salt Lake,"Punjabi, Mughlai",Cafe,No,No,3.8,564.0,1019
Hotel Tiffin Box,Kolkata,Gariahat,"Gujarati, North Indian, Desserts",Cafe,Yes,Yes,3.3,688.0,405
The Curry Leaf,Kolkata,New Town,South Indian,Food Court,Yes,No,2.6,582.0,425
Royal Pizza Palace,Kolkata,Park Street,"Mexican, Street Food",Dessert Parlour,Yes,No,4.4,564.0,387
Royal Fusion Bites,Kolkata,New Town,"Pizza, Italian",Delivery,Yes,Yes,3.5,794.0,430
The The Hungry Tiger,Kolkata,Park Street,Pizza,Bakery,Yes,Yes,2.9,639.0,575
Sweet Tooth,Kolkata,Gariahat,Punjabi,Quick Bites,No,No,3.4,522.0,254
Cafe Noodle Box,Kolkata,Gariahat,"Street Food, Punjabi",Bakery,Yes,Yes,3.7,180.0,209
Aroma Restaurant,Kolkata,Gariahat,"Italian, Fast Food, Thai",Bakery,No,No,2.9,384.0,543
Royal Masala Twist,Kolkata,New Town,"Thai, Mughlai, Seafood",Delivery,Yes,No,4.5,462.0,200
Saffron,Kolkata,Park Street,"Italian, Punjabi",Casual Dining,No,No,3.3,1364.0,681
Cafe Flavor Town,Kolkata,Salt Lake,"Gujarati, Rajasthani, Cafe",Quick Bites,Yes,No,,,379
Curry Leaf,Ahmedabad,Navrangpura,Bengali,Cafe,No,Yes,3.9,177.0,1127
The Taste of India,Ahmedabad,SG Highway,"Desserts, Pizza",Quick Bites,No,No,4.4,24.0,364
The Masala Twist,Ahmedabad,CG Road,"Italian, Chinese, Pizza",Cafe,Yes,Yes,3.5,888.0,917
Cafe Aroma Restaurant,Ahmedabad,SG Highway,Desserts,Food Court,Yes,No,2.7,484.0,576
Restaurant Masala Twist,Ahmedabad,Navrangpura,"Mexican, North Indian",Cafe,No,No,3.5,992.0,783
Curry Leaf,Ahmedabad,SG Highway,"Biryani, Street Food, South Indian",Delivery,Yes,Yes,3.1,333.0,389
Cafe Food Hub,Ahmedabad,Navrangpura,"Rajasthani, Italian",Dessert Parlour,Yes,No,3.2,667.0,495
New Aroma Restaurant,Ahmedabad,CG Road,Thai,Fine Dining,Yes,No,4.3,624.0,2682
Royal The Hungry Tiger,Ahmedabad,CG Road,"Mughlai, Italian, Cafe",Casual Dining,Yes,Yes,3.4,1342.0,1074
Hotel Dosa Corner,Ahmedabad,CG Road,"Mexican, South Indian, Desserts",Fine Dining,No,No,4.8,525.0,1532
Chaat Junction,Ahmedabad,SG Highway,Rajasthani,Dessert Parlour,Yes,No,3.4,477.0,415
New Biryani House,Ahmedabad,CG Road,"Beverages, Desserts, Gujarati",Dessert Parlour,No,No,4.4,249.0,549
Restaurant Momo Point,Ahmedabad,SG Highway,"Mexican, Seafood",Fine Dining,Yes,Yes,4.0,1422.0,2731
Cafe Curry Leaf,Ahmedabad,SG Highway,"Desserts, South Indian, Chinese",Cafe,Yes,No,4.4,,869
Spice Garden,Ahmedabad,CG Road,"Chinese, Pizza",Dessert Parlour,Yes,Yes,2.7,167.0,225
Restaurant Cloud Kitchen,Ahmedabad,SG Highway,"Fast Food, Gujarati",Cafe,Yes,No,3.5,1418.0,883
Royal Sweet Tooth,Ahmedabad,Navrangpura,Desserts,Fine Dining,No,Yes,4.7,1878.0,2659
The Fusion Bites,Ahmedabad,Navrangpura,"Gujarati, Mexican",Casual Dining,Yes,No,3.5,805.0,640
Pizza Palace,Ahmedabad,CG Road,Continental,Fine Dining,Yes,Yes,4.0,390.0,3283
Hotel Kebab King,Ahmedabad,Navrangpura,"Gujarati, South Indian",Dessert Parlour,Yes,No,2.9,708.0,303
Noodle Box,Ahmedabad,SG Highway,"Seafood, North Indian, Pizza",Casual Dining,Yes,No,3.8,73.0,865
Biryani House,Ahmedabad,SG Highway,"Italian, Fast Food",Dessert Parlour,Yes,No,3.4,494.0,290
Shree Noodle Box,Ahmedabad,SG Highway,"Seafood, Chinese, Biryani",Fine Dining,Yes,No,4.6,604.0,2556
Cloud Kitchen,Ahmedabad,SG Highway,"South Indian, Fast Food",Bakery,No,No,2.6,712.0,406
The Tiffin Box,Ahmedabad,Navrangpura,Street Food,Dessert Parlour,Yes,Yes,3.1,46.0,425
Shree Flavor Town,Ahmedabad,Navrangpura,Pizza,Fine Dining,Yes,Yes,4.6,1082.0,3521
Grill House,Ahmedabad,Navrangpura,"Punjabi, Mexican, Rajasthani",Delivery,Yes,No,2.6,751.0,411
Biryani House,Ahmedabad,SG Highway,"Street Food, Bengali",Casual Dining,Yes,Yes,4.3,1387.0,1138
Saffron,Ahmedabad,Navrangpura,"Cafe, Punjabi",Dessert Parlour,Yes,No,3.9,393.0,125
Urban Kitchen,Ahmedabad,SG Highway,"Punjabi, South Indian",Cafe,Yes,No,4.2,,679
Royal Dhaba Express,Ahmedabad,Navrangpura,"Rajasthani, Desserts",Dessert Parlour,Yes,Yes,3.9,75.0,213
Shree Aroma Restaurant,Ahmedabad,CG Road,"Cafe, Desserts, Thai",Fine Dining,Yes,No,3.8,854.0,2895
Hotel Curry Leaf,Ahmedabad,Navrangpura,"Pizza, Seafood, Italian",Delivery,Yes,No,3.6,656.0,140
Cloud Kitchen,Ahmedabad,SG Highway,"Street Food, Desserts",Food Court,Yes,No,2.8,180.0,399
Hotel Momo Point,Ahmedabad,CG Road,"Gujarati, Continental, Seafood",Dessert Parlour,No,Yes,3.7,136.0,535
Hotel Urban Kitchen,Ahmedabad,Navrangpura,Seafood,Cafe,Yes,No,3.5,621.0,1013
Masala Twist,Ahmedabad,SG Highway,"Thai, Cafe, Seafood",Food Court,Yes,No,4.0,470.0,246
Cafe Fusion Bites,Ahmedabad,Navrangpura,"Pizza, Fast Food",Food Court,Yes,No,4.4,203.0,310
Royal Classic Dining,Ahmedabad,CG Road,"Mexican, Bengali, North Indian",Casual Dining,Yes,Yes,4.1,1451.0,883
Taste of India,Ahmedabad,SG Highway,Rajasthani,Delivery,Yes,No,2.9,739.0,579
Royal The Hungry Tiger,Ahmedabad,SG Highway,"Rajasthani, Cafe, Continental",Delivery,No,No,3.0,482.0,190
Saffron,Ahmedabad,Navrangpura,"Chinese, North Indian",Delivery,No,No,3.3,491.0,366
New Classic Dining,Ahmedabad,Navrangpura,"Cafe, Thai, North Indian",Casual Dining,Yes,No,3.3,131.0,807
Pizza Palace,Ahmedabad,SG Highway,"Fast Food, Cafe",Bakery,Yes,Yes,4.2,124.0,485
The Hungry Tiger,Ahmedabad,CG Road,Italian,Bakery,Yes,No,2.6,736.0,560
Momo Point,Ahmedabad,CG Road,"Rajasthani, Italian",Bakery,Yes,No,4.0,544.0,175
Cafe Fusion Bites,Ahmedabad,CG Road,"Pizza, Mexican",Dessert Parlour,Yes,No,3.4,168.0,250
New Sweet Tooth,Ahmedabad,CG Road,"Continental, North Indian",Fine Dining,No,No,4.0,731.0,1549
Cafe Chaat Junction,Ahmedabad,CG Road,"Biryani, Mexican",Cafe,No,No,3.8,1377.0,896
Chaat Junction,Ahmedabad,CG Road,"Chinese, Desserts, Continental",Quick Bites,Yes,Yes,3.1,756.0,498
New Aroma Restaurant,Ahmedabad,Navrangpura,"Punjabi, Continental, Mughlai",Quick Bites,Yes,Yes,3.8,347.0,587
Restaurant Burger Barn,Ahmedabad,Navrangpura,Rajasthani,Casual Dining,Yes,Yes,3.6,424.0,1157
Cafe Grill House,Ahmedabad,CG Road,South Indian,Bakery,No,Yes,3.1,204.0,480
Hotel Curry Leaf,Ahmedabad,CG Road,Continental,Quick Bites,Yes,No,3.5,559.0,150
Hotel Aroma Restaurant,Ahmedabad,CG Road,"Chinese, Gujarati",Casual Dining,Yes,No,3.5,664.0,898
Classic Dining,Ahmedabad,CG Road,"Cafe, Rajasthani, North Indian",Delivery,Yes,No,3.0,190.0,423
Grill House,Ahmedabad,CG Road,"Continental, Desserts, Italian",Dessert Parlour,No,No,3.8,784.0,157
Cafe Curry Leaf,Ahmedabad,SG Highway,Pizza,Bakery,Yes,No,3.1,463.0,573
Royal Urban Kitchen,Ahmedabad,SG Highway,Street Food,Delivery,Yes,No,3.6,711.0,152
Shree Classic Dining,Ahmedabad,Navrangpura,Mughlai,Food Court,No,No,4.2,688.0,412
Dhaba Express,Ahmedabad,CG Road,"Italian, Continental, Cafe",Fine Dining,Yes,No,4.1,827.0,2093
Spice Garden,Ahmedabad,Navrangpura,"Seafood, Bengali, North Indian",Fine Dining,No,No,4.9,1522.0,2948
Restaurant Curry Leaf,Ahmedabad,Navrangpura,Italian,Delivery,Yes,No,3.1,401.0,504
The Cloud Kitchen,Ahmedabad,Navrangpura,"Fast Food, Chinese",Bakery,Yes,No,3.5,617.0,469
Shree Masala Twist,Ahmedabad,SG Highway,"Gujarati, Continental, Italian",Fine Dining,No,No,3.9,1509.0,1729
New Taste of India,Ahmedabad,CG Road,Chinese,Bakery,Yes,No,3.3,164.0,177
Hotel Flavor Town,Ahmedabad,Navrangpura,"Mexican, Thai",Delivery,No,Yes,,716.0,249
Fusion Bites,Ahmedabad,Navrangpura,"Rajasthani, Mughlai",Food Court,Yes,No,3.4,213.0,270
New Kebab King,Ahmedabad,SG Highway,Fast Food,Quick Bites,Yes,No,4.1,59.0,508
Hotel Momo Point,Ahmedabad,SG Highway,Punjabi,Fine Dining,No,No,4.4,1377.0,2657
Dhaba Express,Jaipur,Vaishali Nagar,"Pizza, Punjabi, Chinese",Casual Dining,Yes,No,4.2,199.0,595
Spice Garden,Jaipur,C Scheme,"Desserts, Chinese, Pizza",Cafe,Yes,No,4.0,935.0,1109
Shree Classic Dining,Jaipur,C Scheme,North Indian,Fine Dining,Yes,No,4.1,1396.0,2412
The Cloud Kitchen,Jaipur,MI Road,"Beverages, Mexican, Biryani",Delivery,Yes,Yes,3.1,36.0,151
Restaurant Curry Leaf,Jaipur,Vaishali Nagar,Desserts,Food Court,No,No,3.8,320.0,203
The Dhaba Express,Jaipur,Vaishali Nagar,Rajasthani,Quick Bites,Yes,No,2.6,771.0,544
Hotel Dosa Corner,Jaipur,MI Road,Mughlai,Fine Dining,No,No,3.9,1237.0,2217
Hotel Dhaba Express,Jaipur,MI Road,"Cafe, Beverages",Casual Dining,No,No,3.5,1088.0,492
Burger Barn,Jaipur,C Scheme,"Bengali, Seafood",Quick Bites,No,Yes,3.2,76.0,258
Royal Spice Garden,Jaipur,MI Road,"Seafood, Gujarati, North Indian",Casual Dining,No,Yes,4.2,142.0,731
Cafe Noodle Box,Jaipur,MI Road,Gujarati,Cafe,No,Yes,4.4,1403.0,1157
Fusion Bites,Jaipur,Vaishali Nagar,"Biryani, Pizza, Beverages",Cafe,No,Yes,3.4,467.0,909
Royal Aroma Restaurant,Jaipur,C Scheme,Desserts,Quick Bites,Yes,No,,427.0,173
Tiffin Box,Jaipur,Vaishali Nagar,Fast Food,Cafe,Yes,No,3.3,280.0,467
Hotel Chaat Junction,Jaipur,Vaishali Nagar,"North Indian, Street Food, Gujarati",Cafe,Yes,No,3.4,1155.0,1072
Fusion Bites,Jaipur,MI Road,Continental,Delivery,Yes,No,2.8,94.0,437
Royal Saffron,Jaipur,MI Road,Italian,Delivery,Yes,No,3.2,483.0,598
Cafe Spice Garden,Jaipur,MI Road,"Beverages, Biryani",Food Court,Yes,No,2.6,404.0,563
Royal Sweet Tooth,Jaipur,Vaishali Nagar,Pizza,Quick Bites,Yes,Yes,3.5,362.0,539
Cafe Saffron,Jaipur,Vaishali Nagar,"Cafe, Italian",Delivery,Yes,Yes,3.1,536.0,493
Hotel Burger Barn,Jaipur,Vaishali Nagar,"Rajasthani, Fast Food, Desserts",Bakery,No,Yes,,667.0,318
New Dosa Corner,Jaipur,Vaishali Nagar,Thai,Casual Dining,No,Yes,3.7,943.0,863
New Grill House,Jaipur,MI Road,Continental,Delivery,No,Yes,4.0,625.0,369
Cafe Tiffin Box,Jaipur,C Scheme,"Continental, Punjabi, Pizza",Food Court,Yes,Yes,2.8,643.0,424
Shree The Hungry Tiger,Jaipur,MI Road,Italian,Fine Dining,Yes,No,4.2,1268.0,3096
The Cloud Kitchen,Jaipur,Vaishali Nagar,Chinese,Dessert Parlour,Yes,No,3.1,761.0,572
Momo Point,Jaipur,MI Road,Gujarati,Cafe,No,No,4.4,851.0,648
Cafe Curry Leaf,Jaipur,Vaishali Nagar,"Chinese, Continental",Delivery,No,Yes,4.3,753.0,163
Shree Masala Twist,Jaipur,MI Road,"Italian, Desserts, North Indian",Cafe,Yes,No,4.0,1337.0,1190
Biryani House,Jaipur,C Scheme,Chinese,Bakery,No,No,3.9,288.0,548
Royal Fusion Bites,Jaipur,Vaishali Nagar,"Mexican, Pizza",Bakery,No,No,4.1,308.0,488
New The Hungry Tiger,Jaipur,Vaishali Nagar,"Gujarati, Bengali, Mexican",Delivery,Yes,Yes,4.0,751.0,531
Hotel Cloud Kitchen,Jaipur,C Scheme,"Chinese, North Indian",Dessert Parlour,Yes,No,3.0,236.0,353
